1,Aboud,384,27
2,Nabi Saleh,589,25
3,Rawabi,828,61
4,Mughayir,1415,11
5,Al-Mazra'a ash-Sharqiya,1164,80
6,Deir Nidham,554,87
7,Jibya,728,111
8,Dayr Abu Mash'al,391,98
9,Shuqba,278,150
10,Burham,783,149
11,Kufr Malik,1284,138
12,Silwad,1105,189
13,Ein Sinya,979,220
14,Birzeit,856,207
15,Baytillo,555,202
16,Shabtin,320,213
17,Qibya,181,195
18,Budrus,111,243
19,Deir Ammar,493,246
20,Dayr Jarir,1229,248
21,Taibe,1244,283
22,Ein Yabroud,1064,305
23,Abu Qash,812,314
24,Mazra'a al-Qibliya,690,312
25,Surda,886,356
26,Ras Karkar,510,351
27,Kharbatha Bani Harith,396,339
28,Ni'lin,221,332
29,al-Midya,149,380
30,Bil'in,393,412
31,Baytin,1012,422
32,Dayr Dibwan,1129,489
33,Al-Bireh,955,483
34,Ramallah,887,523
35,Khirbat al-Tira,803,492
36,Ein Arik,661,506
37,Dayr Ibzi',574,467
38,Safa,354,522
39,Bayt Sira,297,593
40,Beit Ur al-Tahta,441,559
41,Beit Ur al-Fauqa,554,601
42,Bayt Liqya,374,669
43,Tira,595,672
44,Beit Anan,540,756
45,Beitunia,761,588
46,Qalandiya,902,711
47,Bir Nabala,880,755
48,Jaba',1099,725
49,Mukhamas,1163,667
